,Artist,Title,Year,Writers,Spotify id,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Kanye West,Stronger,2007,"Mike Dean, Edwin Birdsong, Guy-Manuel de Homem-Christo, Kanye West, Thomas Banghalter",4fzsfWzRhPawzqhX8Qt9F3,84,0.617,0.717,10,-7.858,0,0.153,0.00564,0.0,0.408,0.49,103.992,audio_features,4fzsfWzRhPawzqhX8Qt9F3,spotify:track:4fzsfWzRhPawzqhX8Qt9F3,https://api.spotify.com/v1/tracks/4fzsfWzRhPawzqhX8Qt9F3,https://api.spotify.com/v1/audio-analysis/4fzsfWzRhPawzqhX8Qt9F3,311867,4
1,The Supremes,Baby Love,1964,"Brian Holland, Lamont Dozier, Eddie Holland",5uES1C2NgkdrNHiCwf9jRr,69,0.595,0.643,5,-9.275,1,0.0365,0.76,0.0,0.538,0.73,135.633,audio_features,5uES1C2NgkdrNHiCwf9jRr,spotify:track:5uES1C2NgkdrNHiCwf9jRr,https://api.spotify.com/v1/tracks/5uES1C2NgkdrNHiCwf9jRr,https://api.spotify.com/v1/audio-analysis/5uES1C2NgkdrNHiCwf9jRr,158040,4
2,Townes Van Zandt,Pancho and Lefty,1972,Townes Van Zandt,42Wb5T7YmdrzVD81cUWWAg,33,0.257,0.453,2,-8.063,1,0.0305,0.44,5.05e-06,0.564,0.397,148.848,audio_features,42Wb5T7YmdrzVD81cUWWAg,spotify:track:42Wb5T7YmdrzVD81cUWWAg,https://api.spotify.com/v1/tracks/42Wb5T7YmdrzVD81cUWWAg,https://api.spotify.com/v1/audio-analysis/42Wb5T7YmdrzVD81cUWWAg,241080,4
3,Lizzo,Truth Hurts,2017,"Eric Frederic, Amina Patrice, Bogle-Barriteau, Melissa Jefferson, Steven Cheungjesse Saint John",3HWzoMvoF3TQfYg4UPszDq,78,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,3HWzoMvoF3TQfYg4UPszDq,spotify:track:3HWzoMvoF3TQfYg4UPszDq,https://api.spotify.com/v1/tracks/3HWzoMvoF3TQfYg4UPszDq,https://api.spotify.com/v1/audio-analysis/3HWzoMvoF3TQfYg4UPszDq,173325,4
4,Harry Nilsson,Without You,1971,"Peter Ham, Tom Evans",6MrILERJLA3Jcq0E9poZsp,70,0.381,0.186,4,-15.477,1,0.029,0.613,2.75e-06,0.0694,0.142,65.058,audio_features,6MrILERJLA3Jcq0E9poZsp,spotify:track:6MrILERJLA3Jcq0E9poZsp,https://api.spotify.com/v1/tracks/6MrILERJLA3Jcq0E9poZsp,https://api.spotify.com/v1/audio-analysis/6MrILERJLA3Jcq0E9poZsp,201000,4
5,Carly Simon,You're So Vain,1972,Carly Simon,2DnJjbjNTV9Nd5NOa1KGba,76,0.659,0.678,0,-8.18,1,0.0313,0.157,6.69e-06,0.0784,0.647,106.186,audio_features,2DnJjbjNTV9Nd5NOa1KGba,spotify:track:2DnJjbjNTV9Nd5NOa1KGba,https://api.spotify.com/v1/tracks/2DnJjbjNTV9Nd5NOa1KGba,https://api.spotify.com/v1/audio-analysis/2DnJjbjNTV9Nd5NOa1KGba,258411,4
6,Cyndi Lauper,Time After Time,1983,"Cyndi Lauper, Rob Hyman",7o9uu2GDtVDr9nsR7ZRN73,76,0.726,0.449,0,-9.206,1,0.0286,0.487,1.34e-06,0.0824,0.294,130.388,audio_features,7o9uu2GDtVDr9nsR7ZRN73,spotify:track:7o9uu2GDtVDr9nsR7ZRN73,https://api.spotify.com/v1/tracks/7o9uu2GDtVDr9nsR7ZRN73,https://api.spotify.com/v1/audio-analysis/7o9uu2GDtVDr9nsR7ZRN73,241333,4
7,The Pixies,Where Is My Mind?,1988,Black Francis,7wCmS9TTVUcIhRalDYFgPy,79,0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,audio_features,7wCmS9TTVUcIhRalDYFgPy,spotify:track:7wCmS9TTVUcIhRalDYFgPy,https://api.spotify.com/v1/tracks/7wCmS9TTVUcIhRalDYFgPy,https://api.spotify.com/v1/audio-analysis/7wCmS9TTVUcIhRalDYFgPy,234973,4
8,Miles Davis,So What,1959,Miles Davis,4vLYewWIvqHfKtJDk8c8tq,63,0.532,0.151,0,-17.266,1,0.0376,0.706,0.00136,0.116,0.211,136.759,audio_features,4vLYewWIvqHfKtJDk8c8tq,spotify:track:4vLYewWIvqHfKtJDk8c8tq,https://api.spotify.com/v1/tracks/4vLYewWIvqHfKtJDk8c8tq,https://api.spotify.com/v1/audio-analysis/4vLYewWIvqHfKtJDk8c8tq,562640,4
9,Guns N," Roses, 'Welcome to the Jungle",1987,"Duff McKagan, Jeffrey Isbell, Saul Hudson, Steven Adler, W. Axl Rose",0G21yYKMZoHa30cYVi1iA8,74,0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,audio_features,0G21yYKMZoHa30cYVi1iA8,spotify:track:0G21yYKMZoHa30cYVi1iA8,https://api.spotify.com/v1/tracks/0G21yYKMZoHa30cYVi1iA8,https://api.spotify.com/v1/audio-analysis/0G21yYKMZoHa30cYVi1iA8,273480,4
